contrast_label,contrast_group,model,question_id,mean_effect,blind_mean,target_mean,n_texts
Female (name),PI_NAME,deepseek,q01,-0.04229166666666667,3.9425000000000003,3.9002083333333335,40.0
Female (name),PI_NAME,deepseek,q02,-0.026458333333333337,3.9791666666666665,3.9527083333333333,40.0
Female (name),PI_NAME,deepseek,q03,-0.11708333333333336,2.9858333333333333,2.86875,40.0
Female (name),PI_NAME,deepseek,q04,-0.07437499999999998,3.5275,3.453125,40.0
Female (name),PI_NAME,deepseek,q05,-0.07270833333333333,2.14,2.0672916666666663,40.0
Female (name),PI_NAME,deepseek,q06,-0.06916666666666664,3.4475000000000002,3.3783333333333334,40.0
Female (name),PI_NAME,gemma,q01,-0.11791666666666667,3.6375000000000006,3.5195833333333333,40.0
Female (name),PI_NAME,gemma,q02,-0.07770833333333334,3.4683333333333337,3.3906249999999996,40.0
Female (name),PI_NAME,gemma,q03,-0.094375,2.89,2.795625,40.0
Female (name),PI_NAME,gemma,q04,-0.11979166666666667,3.3858333333333337,3.2660416666666663,40.0
Female (name),PI_NAME,gemma,q05,-0.18791666666666665,2.9258333333333333,2.7379166666666666,40.0
Female (name),PI_NAME,gemma,q06,-0.105,3.454166666666667,3.3491666666666666,40.0
Female (name),PI_NAME,glm,q01,-0.07166666666666666,3.7600000000000002,3.688333333333334,40.0
Female (name),PI_NAME,glm,q02,-0.08208333333333331,3.7283333333333335,3.64625,40.0
Female (name),PI_NAME,glm,q03,-0.14020833333333332,3.0866666666666664,2.9464583333333336,40.0
Female (name),PI_NAME,glm,q04,-0.138125,3.5666666666666664,3.4285416666666664,40.0
Female (name),PI_NAME,glm,q05,-0.27854166666666663,2.8183333333333334,2.5397916666666664,40.0
Female (name),PI_NAME,glm,q06,-0.18083333333333332,3.564166666666667,3.3833333333333333,40.0
Female (name),PI_NAME,gpt,q01,0.0,4.0,4.0,40.0
Female (name),PI_NAME,gpt,q02,-0.003958333333333334,4.0,3.9960416666666667,40.0
Female (name),PI_NAME,gpt,q03,-0.012083333333333333,3.5,3.487916666666667,40.0
Female (name),PI_NAME,gpt,q04,-0.052708333333333336,3.8783333333333334,3.825625,40.0
Female (name),PI_NAME,gpt,q05,-0.12229166666666667,3.3800000000000003,3.2577083333333334,40.0
Female (name),PI_NAME,gpt,q06,-0.03895833333333335,3.671666666666667,3.6327083333333334,40.0
Female (name),PI_NAME,kimi,q01,-0.04041666666666668,3.9933333333333336,3.952916666666667,40.0
Female (name),PI_NAME,kimi,q02,-0.018958333333333334,3.999166666666667,3.9802083333333336,40.0
Female (name),PI_NAME,kimi,q03,-0.16854166666666667,3.3358333333333334,3.167291666666667,40.0
Female (name),PI_NAME,kimi,q04,-0.05645833333333334,3.5425000000000004,3.4860416666666665,40.0
Female (name),PI_NAME,kimi,q05,-0.2697916666666667,3.0908333333333338,2.8210416666666664,40.0
Female (name),PI_NAME,kimi,q06,-0.18062499999999995,3.7674999999999996,3.5868750000000005,40.0
Female (name),PI_NAME,ministral,q01,-0.09270833333333334,3.7541666666666664,3.6614583333333335,40.0
Female (name),PI_NAME,ministral,q02,-0.023958333333333335,3.9791666666666665,3.955208333333333,40.0
Female (name),PI_NAME,ministral,q03,-0.10104166666666665,3.2541666666666664,3.1531249999999997,40.0
Female (name),PI_NAME,ministral,q04,-2.8912057932946783e-19,3.4916666666666667,3.4916666666666667,40.0
Female (name),PI_NAME,ministral,q05,-0.12812500000000002,2.9791666666666665,2.8510416666666667,40.0
Female (name),PI_NAME,ministral,q06,-0.090625,3.658333333333333,3.5677083333333335,40.0
Female (name),PI_NAME,mistral,q01,-0.0008333333333333332,4.0,3.999166666666667,40.0
Female (name),PI_NAME,mistral,q02,0.0,4.0,4.0,40.0
